n	m	quicksort	ordenacao digital	insertion sort
1	1	2	2	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	1	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	2	0	0	0
1	2	0	1	0
1	2	1	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	1	0
1	2	1	0	0
1	2	0	0	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	3	0	1	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	3	0	1	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	1
1	4	1	0	0
1	4	0	0	0
1	4	0	0	0
1	4	0	1	0
1	4	0	0	0
1	4	0	0	0
1	4	0	0	0
1	4	0	1	0
1	4	0	0	0
1	4	0	0	0
1	4	0	0	0
1	4	0	1	0
1	5	0	0	0
1	5	0	0	0
1	5	1	0	0
1	1	0	1	0
1	1	0	1	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	0	0
1	5	0	0	0
1	5	0	0	0
1	5	0	0	1
1	5	0	0	0
1	5	0	0	0
1	5	0	0	0
1	1	0	0	0
1	1	0	0	0
1	1	0	1	0
1	5	0	0	0
1	1	1	0	0
1	5	1	0	0
1	5	0	1	0
1	1	0	0	0
1	2	0	1	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	5	0	1	0
1	2	0	1	0
1	6	0	0	0
1	1	0	0	0
1	6	0	1	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	6	0	0	0
1	1	1	0	0
1	1	0	0	0
1	1	0	0	0
1	6	0	0	0
1	2	0	0	0
1	2	0	0	0
1	3	0	1	0
1	3	0	0	0
1	6	0	1	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	6	0	0	1
1	1	0	0	0
1	6	0	1	0
1	1	0	0	0
1	1	0	0	0
1	1	0	1	0
1	1	0	1	0
1	1	0	0	0
1	6	0	1	0
1	3	0	0	0
1	6	0	0	0
1	2	0	0	0
1	6	0	1	0
1	2	0	0	0
1	2	0	0	0
1	2	0	1	0
1	2	0	1	0
1	2	0	0	0
1	6	0	1	0
1	3	0	0	0
1	6	0	1	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	7	0	0	0
1	2	0	0	0
1	7	0	0	0
1	2	0	0	0
1	2	0	0	0
1	2	0	0	0
1	7	0	0	0
1	3	0	0	0
1	7	0	1	0
1	2	0	0	0
1	7	0	1	0
1	2	0	0	0
1	3	0	0	0
1	3	0	1	0
1	7	0	1	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	7	0	0	0
1	3	0	0	0
1	7	0	0	0
1	4	0	0	1
1	4	1	0	0
1	4	0	0	0
1	3	0	1	0
1	7	0	0	0
1	3	0	0	0
1	3	0	1	0
1	3	0	0	0
1	7	0	1	0
1	4	0	0	0
1	4	0	0	0
1	4	0	0	0
1	4	0	1	0
1	7	0	0	1
1	4	0	0	0
1	3	0	0	0
1	7	0	0	0
1	3	0	0	0
1	3	0	0	0
1	3	0	0	0
1	7	0	1	0
1	4	0	0	0
1	8	1	0	0
1	4	0	0	0
1	8	0	0	0
1	4	0	1	0
1	4	0	0	0
1	4	0	0	0
1	8	0	0	0
1	4	0	0	0
1	8	0	0	0
1	4	0	0	0
1	8	0	0	0
1	4	0	1	0
1	8	0	1	0
1	4	0	0	0
1	8	0	0	0
1	4	0	1	0
1	4	0	0	0
1	4	0	0	1
1	8	0	0	0
1	4	0	0	0
1	8	0	0	0
1	4	0	0	0
1	8	0	0	0
1	4	0	0	0
1	8	0	1	0
1	4	0	0	0
1	5	0	0	0
1	5	0	0	0
1	8	0	0	0
1	4	0	0	0
1	9	0	0	0
1	5	0	0	0
1	5	0	0	0
1	5	0	0	0
1	9	1	0	0
1	5	0	0	0
1	9	0	1	0
1	5	0	0	0
1	5	0	0	0
1	5	1	0	0
1	9	0	0	0
1	5	0	0	0
1	9	0	0	0
1	5	0	0	0
1	5	0	0	0
1	5	0	0	0
1	9	0	0	0
1	5	0	0	0
1	9	0	1	0
1	5	0	1	0
1	9	0	0	0
1	5	0	0	0
1	9	0	1	0
1	5	0	0	0
1	9	0	0	0
1	5	0	0	0
1	9	0	0	1
1	5	0	1	0
1	9	0	1	0
1	5	0	0	0
1	5	0	1	0
1	5	0	0	0
1	9	0	1	0
1	5	0	0	0
1	10	0	0	0
1	6	0	1	0
1	6	0	0	0
1	6	0	0	0
1	10	0	1	0
1	5	0	0	0
1	10	0	0	0
1	5	0	0	0
1	6	0	0	0
1	6	0	0	0
1	10	0	0	0
1	6	0	0	0
1	10	0	0	0
1	6	0	1	0
1	10	0	1	0
1	6	0	0	0
1	10	0	1	0
1	6	0	0	0
1	6	0	1	0
1	6	0	0	0
1	10	0	1	0
1	6	0	0	0
1	10	0	0	0
1	6	0	1	0
1	10	0	0	0
1	6	0	0	1
1	6	0	0	0
1	6	0	0	0
1	10	0	0	0
1	6	0	1	0
1	10	0	1	0
1	6	0	0	0
1	6	0	1	0
1	6	0	0	0
1	11	0	1	0
1	6	0	0	0
1	11	0	0	0
1	6	0	1	0
1	11	0	0	0
1	6	0	1	0
1	6	0	0	0
1	7	0	0	0
1	11	0	0	0
1	7	0	0	0
1	11	0	0	0
